totalSteps,restingHeartRate,stressLevel,deepSleep,lightSleep,awakeSleep,observationDate
123,70,47,,,,2018-04-20
8624,63,46,43,164,8,2018-04-19
6351,59,39,49,198,5,2018-04-18
7809,56,42,65,218,5,2018-04-17
6339,55,42,,,,2018-04-16
9913,59,40,51,296,9,2018-04-15
3952,56,42,,,,2018-04-14
5277,59,42,104,194,9,2018-04-13
7857,55,42,,,,2018-04-12
7907,56,39,,,,2018-04-11
9272,55,37,81,133,6,2018-04-10
6680,49,35,95,205,10,2018-04-09
11571,56,40,60,264,7,2018-04-08
4709,53,30,86,351,13,2018-04-07
7001,55,32,172,383,14,2018-04-06
8905,59,41,297,254,28,2018-04-05
5579,60,43,199,229,4,2018-04-04
6550,61,49,,,,2018-04-03
6323,60,37,13,175,12,2018-04-02
4965,57,40,,,,2018-04-01
7427,56,34,119,434,3,2018-03-31
6407,56,39,165,461,40,2018-03-30
13362,57,39,139,384,48,2018-03-29
4011,58,37,137,337,25,2018-03-28
12108,52,40,74,169,11,2018-03-27
9543,60,40,49,160,21,2018-03-26
4890,61,39,172,302,9,2018-03-25
8020,57,42,112,220,17,2018-03-24
7525,61,37,,,,2018-03-23
8941,55,29,100,473,12,2018-03-22
11591,56,38,68,174,6,2018-03-21
14162,56,40,149,291,36,2018-03-20
4934,55,50,,,,2018-03-19
3851,64,36,,,,2018-03-18
9090,60,44,,,,2018-03-17
,,,,,,2018-03-16
,,,,,,2018-03-15
8278,57,44,,,,2018-03-14
541,56,29,,,,2018-03-13
1276,54,24,115,281,105,2018-03-12
4592,57,37,,,,2018-03-11
7312,52,39,,,,2018-03-10
7156,52,28,114,384,37,2018-03-09
12898,47,36,94,205,11,2018-03-08
11406,54,36,,,,2018-03-07
4955,52,33,226,295,33,2018-03-06
8899,45,33,105,252,8,2018-03-05
7964,38,33,71,91,5,2018-03-04
10127,53,40,199,271,39,2018-03-03
11321,56,44,,,,2018-03-02
7083,51,30,98,229,12,2018-03-01
10838,53,38,,,,2018-02-28
8914,55,39,,,,2018-02-27
10892,54,44,148,377,32,2018-02-26
8047,56,37,90,176,13,2018-02-25
5742,57,39,92,465,27,2018-02-24
9746,59,46,57,148,13,2018-02-23
5140,60,38,189,236,100,2018-02-22
4915,57,30,125,470,74,2018-02-21
3233,56,37,279,125,55,2018-02-20
4349,52,26,113,355,25,2018-02-19
4575,57,34,123,287,7,2018-02-18
2884,49,33,118,105,5,2018-02-17
1804,54,32,60,261,52,2018-02-16
8120,62,37,25,170,0,2018-02-15
6567,65,66,317,120,93,2018-02-14
5605,65,54,52,317,9,2018-02-13
2693,53,45,124,361,17,2018-02-12
13546,60,35,54,275,6,2018-02-11
5400,50,27,142,467,19,2018-02-10
11261,50,30,68,306,15,2018-02-09
7612,53,26,244,346,9,2018-02-08
10923,53,39,225,199,14,2018-02-07
10582,54,42,220,246,5,2018-02-06
11556,55,45,32,228,0,2018-02-05
8991,49,29,122,271,2,2018-02-04
9778,55,27,108,526,9,2018-02-03
15741,50,34,129,516,8,2018-02-02
8318,53,33,166,402,19,2018-02-01
9559,62,50,141,157,5,2018-01-31
8412,54,46,,,,2018-01-30
10468,67,47,24,216,77,2018-01-29
12723,64,48,99,315,30,2018-01-28
16853,64,58,121,227,7,2018-01-27
6596,61,46,,,,2018-01-26
8628,54,41,180,426,27,2018-01-25
8073,70,65,86,141,6,2018-01-24
9755,58,54,221,222,10,2018-01-23
11349,67,58,140,147,10,2018-01-22
